Codigo;ID_Zona;Latitud;Longitud
PH022822;6400162;10.38219864;-75.48754224
PH022818;6400154;10.44704159;-75.27878312
PH022828;6400154;10.31314828;-75.39604926
PH022820;6400154;9.954937;-75.07905327
PH022830;6400154;9.96329634;-75.0789187
PH022817;6400154;10.44731781;-75.27765828
PH022827;6400154;10.31345436;-75.39526058
PH022833;6400154;9.96199566;-75.08019968
PH022812;6400154;10.31039886;-75.40321921
PH022826;6400154;10.31407311;-75.3962323
PH022831;6400154;9.96223706;-75.07951645
PH022840;6400157;10.40488973;-75.46736755
PH022839;6400157;10.39738056;-75.4688427
PH022836;6400157;10.61538841;-75.142535
PH022838;6400158;10.39100579;-75.45878383
PH022819;6400153;10.39442854;-75.4723511
